title,description,category,subcategory,priority,department
FYI for the helpdesk team. External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort. Multiple teammates are experiencing this as well.,Hardware,Monitor,MEDIUM,Hardware Support
Help needed: External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
Help needed: Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet. Kindly look into this as soon as possible.,Security,Security Incident,HIGH,Security
Escalation: Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system. Impacting ongoing customer deliverables.,Software,Application Crash,MEDIUM,Software Support
Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours.,Software,Update Issue,MEDIUM,Software Support
FYI for the helpdesk team. Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner. Multiple teammates are experiencing this as well.,Hardware,Printer,LOW,Hardware Support
Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing.,Software,License Issue,HIGH,Software Support
Please assist urgently. Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD. This is blocking my daily tasks.,Hardware,Laptop,HIGH,Hardware Support
Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up.",Hardware,Laptop,HIGH,Hardware Support
Urgent assistance required: Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient. Error code was captured in screenshot.,Software,Software Installation,LOW,Software Support
Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard.,Hardware,Laptop,MEDIUM,Hardware Support
Escalation: Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header. Impacting ongoing customer deliverables.,Security,Phishing,HIGH,Security
Need immediate help with this. Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago. Occurred right after rebooting.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN.,Network,VPN,HIGH,Network Support
Urgent assistance required: Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied. Error code was captured in screenshot.,Email,Email Not Sending,MEDIUM,Email Support
Help needed: YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication. Kindly look into this as soon as possible.,Account & Access,MFA,HIGH,IT Helpdesk
Urgent assistance required: Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently. Error code was captured in screenshot.,Email,Spam,MEDIUM,Email Support
Need immediate help with this. Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows. Occurred right after rebooting.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
FYI for the helpdesk team. Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address. Multiple teammates are experiencing this as well.,Network,Internet Connectivity,HIGH,Network Support
Escalation: Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key. Impacting ongoing customer deliverables.,Software,License Issue,MEDIUM,Software Support
Escalation: Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today. Impacting ongoing customer deliverables.",Email,Email Not Receiving,CRITICAL,Email Support
Need immediate help with this. Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen. Occurred right after rebooting.,Email,Outlook Problem,MEDIUM,Email Support
Escalation: Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds. Impacting ongoing customer deliverables.,Security,Malware,CRITICAL,Security
Urgent assistance required: Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency. Error code was captured in screenshot.,Email,Email Not Receiving,HIGH,Email Support
Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603.,Software,Software Installation,LOW,Software Support
Please assist urgently. Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address. This is blocking my daily tasks.,Network,Internet Connectivity,MEDIUM,Network Support
Please assist urgently. Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile. This is blocking my daily tasks.,Security,Malware,HIGH,Security
Need immediate help with this. User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.' Occurred right after rebooting.,Account & Access,Login Problem,CRITICAL,IT Helpdesk
Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016.,Account & Access,Login Problem,HIGH,IT Helpdesk
FYI for the helpdesk team. Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed. Multiple teammates are experiencing this as well.,Server / Infrastructure,Backup,CRITICAL,Infrastructure
Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Urgent assistance required: Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN. Error code was captured in screenshot.,Security,Malware,HIGH,Security
Issue started this morning. NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS. Restarting the system did not resolve the problem.,Software,Software Installation,LOW,Software Support
FYI for the helpdesk team. Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes. Multiple teammates are experiencing this as well.,Network,WiFi,MEDIUM,Network Support
Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points.,Network,WiFi,MEDIUM,Network Support
High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing.",Network,Internet Connectivity,HIGH,Network Support
Please assist urgently. Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen. This is blocking my daily tasks.,Email,Outlook Problem,HIGH,Email Support
Escalation: Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC. Impacting ongoing customer deliverables.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Escalation: Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed. Impacting ongoing customer deliverables.,Server / Infrastructure,Backup,HIGH,Infrastructure
Issue started this morning. Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory. Restarting the system did not resolve the problem.,Security,Malware,CRITICAL,Security
Urgent assistance required: Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely. Error code was captured in screenshot.,Email,Email Not Sending,MEDIUM,Email Support
Escalation: Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice. Impacting ongoing customer deliverables.",Hardware,Printer,LOW,Hardware Support
FYI for the helpdesk team. Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN. Multiple teammates are experiencing this as well.,Network,DNS,HIGH,Network Support
Urgent assistance required: Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal. Error code was captured in screenshot.,Hardware,Monitor,MEDIUM,Hardware Support
Issue started this morning. Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing. Restarting the system did not resolve the problem.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Please assist urgently. Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner. This is blocking my daily tasks.,Hardware,Printer,MEDIUM,Hardware Support
Help needed: Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message. Kindly look into this as soon as possible.,Email,Email Not Sending,HIGH,Email Support
Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile.,Security,Malware,HIGH,Security
Need immediate help with this. Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off. Occurred right after rebooting.,Hardware,Laptop,MEDIUM,Hardware Support
Need immediate help with this. Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard. Occurred right after rebooting.,Hardware,Laptop,MEDIUM,Hardware Support
Urgent assistance required: Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient. Error code was captured in screenshot.,Software,Software Installation,LOW,Software Support
Please assist urgently. Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode. This is blocking my daily tasks.,Software,Application Crash,HIGH,Software Support
Need immediate help with this. Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently. Occurred right after rebooting.,Email,Spam,HIGH,Email Support
Issue started this morning. Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters. Restarting the system did not resolve the problem.,Email,Spam,HIGH,Email Support
Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes.,Network,WiFi,MEDIUM,Network Support
Escalation: Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours. Impacting ongoing customer deliverables.,Software,Update Issue,MEDIUM,Software Support
FYI for the helpdesk team. Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603. Multiple teammates are experiencing this as well.,Software,Software Installation,LOW,Software Support
Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points.,Network,WiFi,MEDIUM,Network Support
Escalation: Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit. Impacting ongoing customer deliverables.,Account & Access,Access Request,LOW,IT Helpdesk
Need immediate help with this. Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off. Occurred right after rebooting.,Hardware,Laptop,LOW,Hardware Support
Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Please assist urgently. Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network. This is blocking my daily tasks.,Network,WiFi,MEDIUM,Network Support
Please assist urgently. Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows. This is blocking my daily tasks.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1.,Network,Internet Connectivity,HIGH,Network Support
Help needed: PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'. Kindly look into this as soon as possible.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Need immediate help with this. Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect. Occurred right after rebooting.,Email,Outlook Problem,HIGH,Email Support
Escalation: Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01. Impacting ongoing customer deliverables.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Escalation: Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution. Impacting ongoing customer deliverables.,Hardware,Monitor,LOW,Hardware Support
Issue started this morning. Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately. Restarting the system did not resolve the problem.,Security,Security Incident,HIGH,Security
FYI for the helpdesk team. USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows. Multiple teammates are experiencing this as well.,Hardware,Peripherals,LOW,Hardware Support
USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows.,Hardware,Peripherals,LOW,Hardware Support
Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1.,Network,Internet Connectivity,MEDIUM,Network Support
FYI for the helpdesk team. Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset. Multiple teammates are experiencing this as well.,Security,Phishing,MEDIUM,Security
Escalation: Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded. Impacting ongoing customer deliverables.,Server / Infrastructure,Storage,HIGH,Infrastructure
Issue started this morning. Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today. Restarting the system did not resolve the problem.",Email,Email Not Receiving,HIGH,Email Support
Urgent assistance required: Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet. Error code was captured in screenshot.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Issue started this morning. Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement. Restarting the system did not resolve the problem.,Hardware,Laptop,MEDIUM,Hardware Support
Help needed: Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com.,Network,Internet Connectivity,HIGH,Network Support
FYI for the helpdesk team. External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard. Multiple teammates are experiencing this as well.,Hardware,Peripherals,LOW,Hardware Support
Please assist urgently. Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11. This is blocking my daily tasks.,Software,Application Crash,MEDIUM,Software Support
Help needed: Install Postman for API testing,Require Postman desktop client for testing microservices endpoints. Kindly look into this as soon as possible.,Software,Software Installation,LOW,Software Support
Issue started this morning. Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error. Restarting the system did not resolve the problem.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Escalation: Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet. Impacting ongoing customer deliverables.,Security,Security Incident,HIGH,Security
Urgent assistance required: Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency. Error code was captured in screenshot.,Email,Email Not Receiving,HIGH,Email Support
Please assist urgently. Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN. This is blocking my daily tasks.,Network,DNS,MEDIUM,Network Support
Issue started this morning. Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached. Restarting the system did not resolve the problem.,Security,Phishing,HIGH,Security
WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed.",Network,WiFi,MEDIUM,Network Support
Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Escalation: Password reset link expired or invalid,Self-service password reset portal says security questions are not configured. Impacting ongoing customer deliverables.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Issue started this morning. Password reset link expired or invalid,Self-service password reset portal says security questions are not configured. Restarting the system did not resolve the problem.,Account & Access,Password Reset,LOW,IT Helpdesk
Issue started this morning. Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team. Restarting the system did not resolve the problem.",Account & Access,Access Request,LOW,IT Helpdesk
Escalation: Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard. Impacting ongoing customer deliverables.,Hardware,Laptop,HIGH,Hardware Support
FYI for the helpdesk team. VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel. Multiple teammates are experiencing this as well.,Network,VPN,HIGH,Network Support
Help needed: Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain. Kindly look into this as soon as possible.",Security,Phishing,CRITICAL,Security
Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials.,Account & Access,Password Reset,LOW,IT Helpdesk
Please assist urgently. macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected. This is blocking my daily tasks.",Software,Update Issue,LOW,Software Support
Need immediate help with this. Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC. Occurred right after rebooting.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Urgent assistance required: Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice. Error code was captured in screenshot.",Hardware,Printer,HIGH,Hardware Support
Need immediate help with this. Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes. Occurred right after rebooting.,Network,WiFi,MEDIUM,Network Support
Please assist urgently. Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address. This is blocking my daily tasks.,Network,Internet Connectivity,HIGH,Network Support
FYI for the helpdesk team. VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel. Multiple teammates are experiencing this as well.,Network,VPN,HIGH,Network Support
Help needed: MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal. Kindly look into this as soon as possible.,Account & Access,MFA,HIGH,IT Helpdesk
Need immediate help with this. Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21. Occurred right after rebooting.,Network,DNS,MEDIUM,Network Support
Please assist urgently. VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel. This is blocking my daily tasks.,Network,VPN,HIGH,Network Support
Escalation: Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD. Impacting ongoing customer deliverables.,Hardware,Laptop,MEDIUM,Hardware Support
FYI for the helpdesk team. Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.' Multiple teammates are experiencing this as well.,Email,Email Not Sending,HIGH,Email Support
Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Help needed: User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.' Kindly look into this as soon as possible.,Account & Access,Login Problem,HIGH,IT Helpdesk
Escalation: Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network. Impacting ongoing customer deliverables.,Network,WiFi,HIGH,Network Support
Issue started this morning. VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN. Restarting the system did not resolve the problem.,Network,VPN,MEDIUM,Network Support
Please assist urgently. AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently. This is blocking my daily tasks.,Software,Application Crash,HIGH,Software Support
FYI for the helpdesk team. MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal. Multiple teammates are experiencing this as well.,Account & Access,MFA,MEDIUM,IT Helpdesk
Escalation: Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error. Impacting ongoing customer deliverables.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error.,Server / Infrastructure,Backup,HIGH,Infrastructure
Escalation: Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately. Impacting ongoing customer deliverables.",Network,VPN,HIGH,Network Support
Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team.",Account & Access,Access Request,MEDIUM,IT Helpdesk
Please assist urgently. Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours. This is blocking my daily tasks.,Software,Update Issue,MEDIUM,Software Support
Urgent assistance required: Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit. Error code was captured in screenshot.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Urgent assistance required: Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up. Error code was captured in screenshot.",Hardware,Laptop,MEDIUM,Hardware Support
Help needed: MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login. Kindly look into this as soon as possible.,Account & Access,MFA,HIGH,IT Helpdesk
Issue started this morning. Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile. Restarting the system did not resolve the problem.,Security,Malware,HIGH,Security
Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team.",Account & Access,Access Request,HIGH,IT Helpdesk
Need immediate help with this. NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS. Occurred right after rebooting.,Software,Software Installation,LOW,Software Support
FYI for the helpdesk team. Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project. Multiple teammates are experiencing this as well.,Software,Software Installation,LOW,Software Support
Urgent assistance required: Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing. Error code was captured in screenshot.,Software,License Issue,MEDIUM,Software Support
FYI for the helpdesk team. WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed. Multiple teammates are experiencing this as well.",Network,WiFi,LOW,Network Support
Please assist urgently. WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load. This is blocking my daily tasks.",Network,WiFi,MEDIUM,Network Support
Help needed: Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603. Kindly look into this as soon as possible.,Software,Software Installation,LOW,Software Support
Escalation: PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'. Impacting ongoing customer deliverables.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters.,Email,Spam,HIGH,Email Support
Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz.,Hardware,Laptop,MEDIUM,Hardware Support
Issue started this morning. Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile. Restarting the system did not resolve the problem.,Security,Malware,CRITICAL,Security
Escalation: YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication. Impacting ongoing customer deliverables.,Account & Access,MFA,MEDIUM,IT Helpdesk
Help needed: WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed. Kindly look into this as soon as possible.",Network,WiFi,HIGH,Network Support
Need immediate help with this. MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login. Occurred right after rebooting.,Account & Access,MFA,MEDIUM,IT Helpdesk
Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points.,Network,WiFi,MEDIUM,Network Support
Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005.,Software,Application Crash,HIGH,Software Support
Please assist urgently. Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today. This is blocking my daily tasks.",Email,Email Not Receiving,HIGH,Email Support
Urgent assistance required: Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago. Error code was captured in screenshot.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Urgent assistance required: Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely. Error code was captured in screenshot.,Email,Email Not Sending,HIGH,Email Support
Need immediate help with this. Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely. Occurred right after rebooting.,Email,Email Not Sending,HIGH,Email Support
Issue started this morning. Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup. Restarting the system did not resolve the problem.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Urgent assistance required: Figma enterprise seat license request,Need editor access to team design files in Figma workspace. Error code was captured in screenshot.,Software,License Issue,MEDIUM,Software Support
Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials.,Account & Access,Password Reset,HIGH,IT Helpdesk
Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit.,Account & Access,Access Request,MEDIUM,IT Helpdesk
SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop.,Account & Access,Login Problem,HIGH,IT Helpdesk
FYI for the helpdesk team. MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal. Multiple teammates are experiencing this as well.,Account & Access,MFA,MEDIUM,IT Helpdesk
Escalation: Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC. Impacting ongoing customer deliverables.,Account & Access,Password Reset,LOW,IT Helpdesk
Need immediate help with this. Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address. Occurred right after rebooting.,Network,Internet Connectivity,HIGH,Network Support
Help needed: AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently. Kindly look into this as soon as possible.,Software,Application Crash,HIGH,Software Support
Escalation: JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate. Impacting ongoing customer deliverables.,Software,License Issue,MEDIUM,Software Support
Please assist urgently. Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Help needed: Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing. Kindly look into this as soon as possible.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Help needed: SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group. Kindly look into this as soon as possible.,Server / Infrastructure,Storage,HIGH,Infrastructure
Issue started this morning. Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system. Restarting the system did not resolve the problem.,Software,Application Crash,MEDIUM,Software Support
Issue started this morning. Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine. Restarting the system did not resolve the problem.,Hardware,Laptop,HIGH,Hardware Support
Issue started this morning. Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend. Restarting the system did not resolve the problem.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Issue started this morning. Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded. Restarting the system did not resolve the problem.,Server / Infrastructure,Storage,HIGH,Infrastructure
Escalation: Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list. Impacting ongoing customer deliverables.,Email,Outlook Problem,LOW,Email Support
FYI for the helpdesk team. Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently. Multiple teammates are experiencing this as well.,Email,Spam,MEDIUM,Email Support
Escalation: Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services. Impacting ongoing customer deliverables.,Account & Access,Login Problem,HIGH,IT Helpdesk
Help needed: Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly. Kindly look into this as soon as possible.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
FYI for the helpdesk team. NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS. Multiple teammates are experiencing this as well.,Software,Software Installation,MEDIUM,Software Support
Need immediate help with this. Install Postman for API testing,Require Postman desktop client for testing microservices endpoints. Occurred right after rebooting.,Software,Software Installation,LOW,Software Support
Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately.",Network,VPN,HIGH,Network Support
Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal.,Hardware,Monitor,MEDIUM,Hardware Support
Issue started this morning. Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded. Restarting the system did not resolve the problem.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Please assist urgently. Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal. This is blocking my daily tasks.,Hardware,Monitor,LOW,Hardware Support
